2025-05-08 15:06:52,438 | INFO | pdf_queue_worker.py:62 | process_message | Done processing 1746697002471-0
2025-05-08 15:07:51,087 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,088 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:07:51,088 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:99]
2025-05-08 15:07:51,088 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,088 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[103:107]
2025-05-08 15:07:51,089 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[163:182]
2025-05-08 15:07:51,089 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[184:212]
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[216:237]
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:07:51,090 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[293:312]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[314:357]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[359:371]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[373:388]
2025-05-08 15:07:51,091 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:07:51,091 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:07:51,092 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[0:69680]
2025-05-08 15:07:51,092 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:07:51,092 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:07:51,099 | INFO | main.py:72 | upload_pdf | Extracted 1 files from 1mb.zip, Batch ID: 
2025-05-08 15:08:01,749 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:01,749 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:01,750 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:08:01,750 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:01,750 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:01,750 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:08:01,750 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:01,750 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:01,755 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id ee8c497f-344c-43da-83c3-eb8398934cc8 
2025-05-08 15:08:01,755 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8
2025-05-08 15:08:01,757 | INFO | cancle_task.py:137 | check_task_already_completed | Only 0/{'upload_count': 1} files processed for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8. Task not complete.
2025-05-08 15:08:01,758 | INFO | cancle_task.py:30 | search_by_batch_id | Found matching batch_id 'ee8c497f-344c-43da-83c3-eb8398934cc8' in stream 'process_pdfs' at entry '1746697069883-0'.
2025-05-08 15:08:01,761 | INFO | cancle_task.py:68 | delete_task_from_queue | successfully deleted queued task 1746697069883-0 from stream process_pdfs batch_id ee8c497f-344c-43da-83c3-eb8398934cc8
2025-05-08 15:08:01,761 | INFO | cancle_task.py:49 | cleanup_cancelled_task_dirs | Deleting directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:03,793 | INFO | cancle_task.py:51 | cleanup_cancelled_task_dirs | Successfully deleted: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:08,499 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:08,499 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:08,499 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:08:08,499 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:08,500 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:08,500 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:08:08,500 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:08,500 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:08,502 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id ee8c497f-344c-43da-83c3-eb8398934cc8 
2025-05-08 15:08:08,502 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8
2025-05-08 15:08:08,503 | INFO | cancle_task.py:137 | check_task_already_completed | Only 0/{'upload_count': 1} files processed for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8. Task not complete.
2025-05-08 15:08:13,185 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:13,185 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:13,186 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:08:13,186 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:13,186 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:13,186 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:08:13,186 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:13,187 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:13,188 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id ee8c497f-344c-43da-83c3-eb8398934cc8 
2025-05-08 15:08:13,188 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8
2025-05-08 15:08:13,190 | INFO | cancle_task.py:137 | check_task_already_completed | Only 0/{'upload_count': 1} files processed for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8. Task not complete.
2025-05-08 15:08:17,799 | DEBUG | proactor_events.py:634 | __init__ | Using proactor: IocpProactor
2025-05-08 15:08:17,807 | INFO | pdf_queue_worker.py:34 | ensure_group | Consumer group already exists
2025-05-08 15:08:17,809 | INFO | pdf_queue_worker.py:142 | main | Running with multiple consumers
2025-05-08 15:08:19,995 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:19,995 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:19,995 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:08:19,996 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:19,996 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:19,996 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:08:19,996 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:19,996 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:19,997 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id ee8c497f-344c-43da-83c3-eb8398934cc8 
2025-05-08 15:08:19,997 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8
2025-05-08 15:08:19,998 | INFO | cancle_task.py:137 | check_task_already_completed | Only 0/{'upload_count': 1} files processed for batch_id: ee8c497f-344c-43da-83c3-eb8398934cc8. Task not complete.
2025-05-08 15:08:25,703 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:25,703 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:25,703 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:99]
2025-05-08 15:08:25,703 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:25,704 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:25,704 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[103:107]
2025-05-08 15:08:25,704 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:25,704 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:25,704 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[163:182]
2025-05-08 15:08:25,705 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[184:212]
2025-05-08 15:08:25,705 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:25,705 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:25,705 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[216:237]
2025-05-08 15:08:25,706 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:25,706 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:25,706 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[293:312]
2025-05-08 15:08:25,706 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[314:357]
2025-05-08 15:08:25,706 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:25,706 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[359:371]
2025-05-08 15:08:25,707 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[373:388]
2025-05-08 15:08:25,707 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:25,707 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:25,707 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[0:69680]
2025-05-08 15:08:25,707 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:25,708 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:25,714 | INFO | main.py:72 | upload_pdf | Extracted 1 files from 1mb.zip, Batch ID: 
2025-05-08 15:08:25,718 | INFO | pdf_queue_worker.py:82 | consume_new_messages | Response: {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'f1cd8809-ea9b-429a-8052-d9f60faa0cab', 'user_id': '681c7b91154310a9f43de39e', 'company_id': '681c7b91154310a9f43de39f'}}
2025-05-08 15:08:25,722 | INFO | pdf_queue_worker.py:42 | process_message | Processing message 1746697104969-0 -> {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'f1cd8809-ea9b-429a-8052-d9f60faa0cab', 'user_id': '681c7b91154310a9f43de39e', 'company_id': '681c7b91154310a9f43de39f'}}
2025-05-08 15:08:25,722 | INFO | pdf_queue_worker.py:45 | process_message | Processing extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:25,722 | INFO | utils.py:121 | process_zip_extracted_files | Starting to process files from extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:25,723 | INFO | utils.py:124 | process_zip_extracted_files | Found 1 CV files to process
2025-05-08 15:08:25,723 | INFO | utils.py:126 | process_zip_extracted_files | files ['1mb.pdf']
2025-05-08 15:08:25,723 | INFO | utils.py:130 | process_zip_extracted_files | Split files into 1 non-overlapping chunks
2025-05-08 15:08:25,724 | INFO | utils.py:191 | _process_file_chunks | Processing chunk of 1 files from C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:25,724 | INFO | utils.py:306 | _process_files | Starting to process PDF file: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:08:27,429 | DEBUG | pdf_parser.py:112 | extract_text | txt_temp type: <class 'tempfile._TemporaryFileWrapper'> - txt_temp.name: C:\Users\SOURAB~1\AppData\Local\Temp\tmp0fvi7bk2.txt
2025-05-08 15:08:27,438 | INFO | utils.py:325 | _process_files | text extracted ... for  C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:08:29,434 | INFO | utils.py:347 | _process_files | Successfully parsed PDF file: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb\1mb.pdf
2025-05-08 15:08:29,434 | INFO | utils.py:229 | _process_file_chunks | Processed chunk: 0 successful, 0 failed
2025-05-08 15:08:31,439 | INFO | utils.py:156 | process_zip_extracted_files | Completed processing all chunks
2025-05-08 15:08:31,440 | INFO | utils.py:160 | process_zip_extracted_files | Starting processing for batch f1cd8809-ea9b-429a-8052-d9f60faa0cab
2025-05-08 15:08:33,443 | INFO | utils.py:162 | process_zip_extracted_files | Successfully processed batch f1cd8809-ea9b-429a-8052-d9f60faa0cab
2025-05-08 15:08:35,375 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:08:35,376 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:08:35,376 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:08:35,376 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:08:35,376 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:08:35,376 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:08:35,377 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:08:35,377 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:08:35,378 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id f1cd8809-ea9b-429a-8052-d9f60faa0cab 
2025-05-08 15:08:35,378 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: f1cd8809-ea9b-429a-8052-d9f60faa0cab
2025-05-08 15:08:35,380 | INFO | cancle_task.py:132 | check_task_already_completed | All {'upload_count': 1} files processed for batch_id: f1cd8809-ea9b-429a-8052-d9f60faa0cab. Task is complete.
2025-05-08 15:08:35,461 | INFO | utils.py:170 | process_zip_extracted_files | Successfully cleaned up directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:35,464 | INFO | utils.py:28 | delete_from_stream | Deleted message 1746697104969-0 from stream 'process_pdfs'
2025-05-08 15:08:35,464 | INFO | utils.py:173 | process_zip_extracted_files | Successfully cleaned up directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:08:35,464 | INFO | pdf_queue_worker.py:62 | process_message | Done processing 1746697104969-0
2025-05-08 15:09:53,668 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:09:53,668 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:09:53,668 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:101]
2025-05-08 15:09:53,669 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:09:53,669 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:09:53,669 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[105:141]
2025-05-08 15:09:53,669 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:09:53,669 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:09:53,670 | INFO | cancle_task.py:122 | check_task_already_completed | Found {'upload_count': 1} uploads for batch_id f1cd8809-ea9b-429a-8052-d9f60faa0cab 
2025-05-08 15:09:53,670 | INFO | cancle_task.py:125 | check_task_already_completed | Found upload_count: {'upload_count': 1} for batch_id: f1cd8809-ea9b-429a-8052-d9f60faa0cab
2025-05-08 15:09:53,673 | INFO | cancle_task.py:132 | check_task_already_completed | All {'upload_count': 1} files processed for batch_id: f1cd8809-ea9b-429a-8052-d9f60faa0cab. Task is complete.
2025-05-08 15:09:58,253 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:09:58,253 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[54:73]
2025-05-08 15:09:58,253 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[75:99]
2025-05-08 15:09:58,254 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:09:58,254 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:09:58,254 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[103:107]
2025-05-08 15:09:58,254 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:09:58,255 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:09:58,255 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[163:182]
2025-05-08 15:09:58,255 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[184:212]
2025-05-08 15:09:58,255 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:09:58,255 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:09:58,255 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[216:237]
2025-05-08 15:09:58,256 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:09:58,256 | DEBUG | multipart.py:628 | callback | Calling on_part_begin with no data
2025-05-08 15:09:58,256 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[293:312]
2025-05-08 15:09:58,256 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[314:357]
2025-05-08 15:09:58,256 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:09:58,256 | DEBUG | multipart.py:625 | callback | Calling on_header_field with data[359:371]
2025-05-08 15:09:58,257 | DEBUG | multipart.py:625 | callback | Calling on_header_value with data[373:388]
2025-05-08 15:09:58,257 | DEBUG | multipart.py:628 | callback | Calling on_header_end with no data
2025-05-08 15:09:58,257 | DEBUG | multipart.py:628 | callback | Calling on_headers_finished with no data
2025-05-08 15:09:58,257 | DEBUG | multipart.py:625 | callback | Calling on_part_data with data[0:69680]
2025-05-08 15:09:58,258 | DEBUG | multipart.py:628 | callback | Calling on_part_end with no data
2025-05-08 15:09:58,258 | DEBUG | multipart.py:628 | callback | Calling on_end with no data
2025-05-08 15:09:58,265 | INFO | main.py:72 | upload_pdf | Extracted 1 files from 1mb.zip, Batch ID: 
2025-05-08 15:09:58,269 | INFO | pdf_queue_worker.py:82 | consume_new_messages | Response: {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'ad656517-5eaa-4813-b796-48100080b737', 'user_id': '681c7bee154310a9f43de3a2', 'company_id': '681c7bee154310a9f43de3a3'}}
2025-05-08 15:09:58,270 | INFO | pdf_queue_worker.py:42 | process_message | Processing message 1746697198277-0 -> {'message': {'extracted_dir': ['C:\\Users\\Sourabh Kumar Das\\Desktop\\Talent_sync_eda\\backend\\zip_dir\\1mb'], 'batch_id': 'ad656517-5eaa-4813-b796-48100080b737', 'user_id': '681c7bee154310a9f43de3a2', 'company_id': '681c7bee154310a9f43de3a3'}}
2025-05-08 15:09:58,270 | INFO | pdf_queue_worker.py:45 | process_message | Processing extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:09:58,271 | INFO | utils.py:121 | process_zip_extracted_files | Starting to process files from extracted directory: C:\Users\Sourabh Kumar Das\Desktop\Talent_sync_eda\backend\zip_dir\1mb
2025-05-08 15:09:58,271 | INFO | utils.py:124 | process_zip_extracted_files | Found 1 CV files to process
